time	x	y
1	464.33628318584067	147.74585635359117
43	293.98230088495575	212.939226519337
69	386.9026548672566	39.4585635359116
97	275.17699115044246	109.0718232044199
125	296.1946902654867	122.33149171270719
152	365.88495575221236	53.82320441988951
181	508.5840707964602	77.02762430939228
210	385.79646017699116	88.07734806629836
238	385.79646017699116	88.07734806629836
263	406.8141592920354	92.49723756906079
293	391.32743362831854	79.2375690607735
318	348.1858407079646	22.883977900552487
344	509.6902654867257	105.75690607734806
373	413.4513274336283	-14.685082872928175
397	413.4513274336283	-14.685082872928175
424	104.82300884955751	-21.314917127071823
451	207.69911504424778	61.55801104972376
477	266.32743362831854	99.12707182320443
505	261.9026548672566	31.723756906077348
531	186.68141592920352	91.39226519337016
560	263.0088495575221	92.49723756906079
587	173.40707964601768	228.40883977900552
615	241.99115044247787	120.12154696132598
641	237.56637168141592	116.80662983425417
669	133.58407079646017	68.1878453038674
698	359.24778761061947	195.25966850828732
726	192.21238938053096	88.07734806629836
753	211.01769911504422	149.95580110497238
783	360.3539823008849	174.26519337016575
809	184.46902654867256	183.1049723756906
840	157.92035398230087	157.69060773480663
868	184.46902654867256	111.28176795580112
895	184.46902654867256	111.28176795580112
921	251.94690265486724	22.883977900552487
960	280.7079646017699	186.41988950276246
987	295.0884955752212	202.99447513812154
1014	202.16814159292034	165.4254143646409
1040	202.16814159292034	165.4254143646409
1067	275.17699115044246	177.5801104972376
1093	174.51327433628316	163.21546961325967
1124	259.69026548672565	107.96685082872929
1153	225.39823008849558	121.22651933701658
1180	302.83185840707966	52.7182320441989
1207	245.30973451327432	212.939226519337
1232	290.6637168141593	241.66850828729284
1260	342.6548672566372	144.43093922651934
1288	258.5840707964602	194.1546961325967
1315	265.2212389380531	105.75690607734806
1344	222.0796460176991	56.03314917127072
1372	173.40707964601768	152.1657458563536
1397	246.4159292035398	153.2707182320442
1424	223.1858407079646	124.54143646408842
1454	313.8938053097345	131.17127071823205
1481	330.4867256637168	88.07734806629836
1507	249.73451327433628	188.62983425414365
1534	288.4513274336283	119.01657458563537
1562	202.16814159292034	164.32044198895028
1591	300.6194690265487	105.75690607734806
1626	207.69911504424778	151.060773480663
1655	251.94690265486724	179.79005524861878
1685	233.14159292035396	128.96132596685084
1713	355.929203539823	166.5303867403315
1741	393.53982300884957	191.94475138121547
1769	406.8141592920354	180.8950276243094
1796	355.929203539823	69.29281767955801
1822	461.01769911504425	100.23204419889504
1851	464.33628318584067	783.1049723756906
1879	701.0619469026549	895.8121546961327
