time	x	y
1	566.3530778164925	543.1872278664731
60	728.9547038327527	631.4310595065313
121	583.7746806039489	651.1698113207548
185	724.3089430894308	804.435413642961
243	767.2822299651568	529.2539912917272
301	451.37049941927995	784.6966618287373
366	764.9593495934959	252.91146589259793
427	613.9721254355401	375.988388969521
488	473.43786295005805	345.799709724238
549	555.9001161440186	358.5718432510885
612	372.39256678281066	232.01161103047895
677	223.72822299651568	164.6676342525399
737	205.1451800232288	234.33381712626993
801	147.0731707317073	128.67343976777937
868	423.49593495934954	272.6502177068215
925	238.82694541231126	569.8925979680697
984	161.01045296167246	292.388969521045
1050	452.5319396051103	65.97387518142234
1111	447.8861788617886	301.67779390420895
1176	325.9349593495935	272.6502177068215
1234	429.30313588850174	-40.847605224963715
1290	415.3658536585366	76.42380261248185
1351	337.5493612078978	150.73439767779388
1408	349.1637630662021	226.20609579100145
1468	435.1103368176539	149.57329462989838
1532	253.92566782810684	427.0769230769231
1595	430.4645760743321	366.69956458635704
1655	239.9883855981417	290.06676342525395
1719	388.65272938443667	365.53846153846155
1782	476.92218350754933	47.39622641509434
1843	514.0882694541231	366.69956458635704
1905	471.11498257839725	248.26705370101595
1968	433.94889663182346	266.84470246734395
2028	258.57142857142856	240.13933236574746
2095	174.9477351916376	294.711175616836
2157	429.30313588850174	288.9056603773585
2217	255.0871080139373	322.577648766328
2280	129.65156794425087	243.62264150943395
2345	561.7073170731707	202.98403483309144
2409	229.53542392566783	319.0943396226415
2471	373.5540069686411	435.20464441219156
2536	323.61207897793264	305.1611030478955
2597	534.9941927990708	305.1611030478955
2656	480.4065040650407	319.0943396226415
2721	577.9674796747968	517.6429608127721
2784	486.2137049941928	300.5166908563135
2847	350.3252032520325	422.4325108853411
2908	498.98954703832754	248.26705370101595
3021	509.44250871080146	215.75616835994197
3081	314.32055749128915	355.08853410740204
3144	351.48664343786294	208.78955007256894
3208	400.267131242741	93.84034833091435
3273	170.30197444831592	130.9956458635704
3333	399.1056910569106	223.88388969521046
3397	348.00232288037165	-2.5312046444121914
3459	186.56213704994192	84.55152394775035
3522	308.513356562137	391.08272859216254
3585	284.12311265969805	389.92162554426704
3647	293.4146341463414	393.4049346879536
3707	684.8199767711964	773.0856313497824
3771	584.9361207897794	727.8026124818579
3832	277.1544715447155	518.8040638606676
3897	415.3658536585366	366.69956458635704
3957	365.4239256678281	250.58925979680694
4021	409.5586527293844	441.01015965166914
4083	183.07781649245064	474.68214804063865
4146	471.11498257839725	358.5718432510885
4205	387.49128919860624	235.49492017416546
4271	410.7200929152149	290.06676342525395
4331	537.3170731707318	171.63425253991292
4395	561.7073170731707	330.7053701015965
4458	443.2404181184669	386.43831640058056
4520	690.6271777003484	330.7053701015965
4586	210.95238095238093	485.1320754716981
4646	687.1428571428571	279.6168359941945
4704	828.8385598141696	238.97822931785194
4771	660.4297328687572	317.933236574746
4833	278.31591173054585	362.05515239477506
4894	209.79094076655053	322.577648766328
4959	267.862950058072	381.7939042089985
5022	414.20441347270616	600.0812772133528
5085	485.0522648083624	234.33381712626993
5148	453.69337979094075	196.01741654571842
5214	472.2764227642277	315.611030478955
5274	309.6747967479675	341.15529753265605
5336	285.2845528455284	374.82728592162556
5399	680.1742160278745	136.8011611030479
5460	233.01974448315912	286.58345428156747
5529	433.94889663182346	223.88388969521046
5591	265.54006968641113	342.3164005805515
5654	262.0557491289199	463.07111756168354
5713	377.03832752613243	639.5587808417997
5782	440.91753774680603	623.3033381712628
5844	327.0963995354239	436.36574746008705
5906	415.3658536585366	466.5544267053701
5968	259.732868757259	643.0420899854862
6030	410.7200929152149	288.9056603773585
6095	850.9059233449477	546.6705370101597
6170	505.95818815331006	463.07111756168354
6234	619.7793263646922	547.8316400580551
6298	680.1742160278745	420.11030478955007
6360	507.1196283391405	522.2873730043541
6420	379.36120789779324	713.8693759071118
6487	306.1904761904762	547.8316400580551
6551	532.6713124274099	458.42670537010156
6614	205.1451800232288	676.7140783744558
6675	186.56213704994192	545.5094339622641
6737	387.49128919860624	615.1756168359942
6803	432.78745644599303	523.4484760522497
6862	539.6399535423926	495.5820029027576
6924	433.94889663182346	379.47169811320754
6987	453.69337979094075	370.1828737300435
7051	782.3809523809524	560.6037735849056
7112	731.2775842044134	387.599419448476
7176	638.3623693379791	294.711175616836
7238	457.17770034843204	408.49927431059507
7298	690.6271777003484	492.09869375907107
7359	607.0034843205575	441.01015965166914
7418	450.20905923344947	597.7590711175617
7473	282.9616724738676	586.1480406386066
7532	451.37049941927995	531.5761973875182
7594	658.1068524970964	444.4934687953555
7655	541.9628339140535	581.5036284470247
7717	390.9756097560976	679.0362844702468
7785	505.95818815331006	603.5645863570393
7847	681.335656213705	631.4310595065313
7910	414.20441347270616	511.8374455732946
7968	473.43786295005805	540.8650217706821
8033	712.6945412311267	663.9419448476053
8098	755.6678281068525	496.7431059506531
8221	570.9988385598142	486.29317851959365
8284	738.2462253193961	651.1698113207548
8349	713.8559814169571	564.0870827285921
8411	832.3228803716607	474.68214804063865
8472	802.1254355400697	660.4586357039187
8534	709.2102206736353	506.0319303338171
8598	911.30081300813	552.4760522496371
8662	753.3449477351917	506.0319303338171
8737	647.6538908246225	634.9143686502177
8801	379.36120789779324	620.9811320754717
8864	469.95354239256676	654.6531204644413
8927	233.01974448315912	680.1973875181422
8988	345.6794425087108	665.1030478955008
9050	408.39721254355396	650.0087082728593
9113	325.9349593495935	565.2481857764877
9177	386.32984901277587	507.1930333817126
9239	450.20905923344947	626.7866473149493
9301	567.5145180023229	655.8142235123368
9362	564.0301974448316	480.48766328011607
9441	544.2857142857142	548.9927431059506
9503	243.47270615563298	650.0087082728593
9567	207.46806039488965	612.8534107402032
9626	409.5586527293844	619.8200290275762
9693	574.4831591173054	494.4208998548621
9756	437.43321718931475	422.4325108853411
9817	633.7166085946574	600.0812772133528
9880	468.79210220673633	753.3468795355589
9942	468.79210220673633	683.6806966618287
10004	414.20441347270616	677.8751814223514
10081	475.7607433217189	452.62119013062414
10138	480.4065040650407	734.7692307692308
10202	400.267131242741	704.5805515239479
10267	482.7293844367015	688.3251088534107
10330	619.7793263646922	501.38751814223514
10391	534.9941927990708	712.7082728592163
10455	466.4692218350755	497.90420899854865
10517	387.49128919860624	560.6037735849056
10580	701.0801393728224	477.0043541364296
10645	577.9674796747968	413.14368650217705
10704	335.22648083623693	721.9970972423803
10769	730.1161440185831	529.2539912917272
10833	354.9709639953542	749.8635703918724
10896	489.69802555168405	472.3599419448476
10957	522.2183507549362	689.4862119013063
11018	431.6260162601626	452.62119013062414
11082	458.3391405342625	468.8766328011611
11144	372.39256678281066	559.4426705370101
11208	445.56329849012775	548.9927431059506
11269	566.3530778164925	574.5370101596517
11332	569.8373983739838	388.76052249637155
11395	287.6074332171893	602.4034833091437
11454	416.52729384436697	463.07111756168354
11517	377.03832752613243	367.86066763425254
11581	467.6306620209059	550.1538461538462
11646	401.4285714285714	514.1596516690856
11705	324.77351916376307	715.0304789550073
11772	246.95702671312426	683.6806966618287
11833	685.9814169570268	518.8040638606676
11896	626.7479674796748	511.8374455732946
11957	555.9001161440186	497.90420899854865
12017	598.8734030197445	468.8766328011611
12082	299.22183507549363	655.8142235123368
12144	374.7154471544715	593.1146589259797
12208	498.98954703832754	611.6923076923077
12268	424.65737514518	449.1378809869376
12332	501.3124274099884	495.5820029027576
12396	422.33449477351917	489.77648766328014
12454	223.72822299651568	526.9317851959362
12515	311.99767711962835	525.7706821480406
12576	194.69221835075493	425.91582002902754
12645	126.16724738675958	699.9361393323659
12709	348.00232288037165	654.6531204644413
12770	64.6109175377468	687.1640058055153
12833	303.86759581881535	569.8925979680697
12892	595.3890824622532	573.3759071117562
12959	588.4204413472705	584.9869375907111
13017	305.0290360046458	468.8766328011611
13082	313.1591173054588	525.7706821480406
13203	244.6341463414634	627.9477503628448
13265	619.7793263646922	582.6647314949201
13335	517.5725900116144	444.4934687953555
13388	373.5540069686411	539.7039187227866
13448	451.37049941927995	699.9361393323659
13518	544.2857142857142	698.7750362844703
13585	574.4831591173054	638.3976777939042
13648	528.0255516840882	684.8417997097242
13710	653.4610917537747	479.32656023222063
13770	568.6759581881533	651.1698113207548
13833	767.2822299651568	605.8867924528303
13897	597.7119628339141	710.3860667634253
13963	833.4843205574913	566.4092888243831
14031	788.1881533101046	351.6052249637155
14098	709.2102206736353	634.9143686502177
14165	625.5865272938444	645.3642960812773
14226	737.0847851335656	533.8984034833092
14285	521.0569105691056	571.0537010159651
14349	574.4831591173054	550.1538461538462
14415	528.0255516840882	557.1204644412192
14480	565.1916376306621	547.8316400580551
14543	490.8594657375145	598.9201741654573
14606	557.0615563298489	583.8258345428156
14685	747.5377468060394	569.8925979680697
14747	517.5725900116144	481.64876632801156
14808	337.5493612078978	575.6981132075472
14872	625.5865272938444	688.3251088534107
14934	760.3135888501741	517.6429608127721
14997	683.6585365853658	717.3526850507983
15056	426.9802555168409	645.3642960812773
15114	489.69802555168405	674.3918722786648
15184	565.1916376306621	507.1930333817126
15246	267.862950058072	622.1422351233673
15310	516.4111498257839	558.2815674891147
15371	598.8734030197445	607.0478955007258
15431	598.8734030197445	544.3483309143686
15499	372.39256678281066	630.2699564586358
15562	311.99767711962835	668.5863570391873
15626	388.65272938443667	569.8925979680697
15689	530.3484320557491	478.1654571843251
15754	303.86759581881535	796.3076923076924
15814	525.7026713124275	473.5210449927431
15876	453.69337979094075	610.5312046444122
15940	314.32055749128915	698.7750362844703
16002	445.56329849012775	636.0754716981132
16067	433.94889663182346	679.0362844702468
16128	498.98954703832754	551.3149492017417
16192	428.1416957026713	654.6531204644413
16253	492.02090592334497	639.5587808417997
16316	570.9988385598142	695.2917271407838
16381	321.2891986062717	752.1857764876634
16442	574.4831591173054	611.6923076923077
16506	629.0708478513357	528.0928882438317
16565	541.9628339140535	352.76632801161105
16628	481.56794425087105	636.0754716981132
16690	603.5191637630662	444.4934687953555
16749	523.3797909407666	258.7169811320755
16815	505.95818815331006	600.0812772133528
16879	662.7526132404181	199.50072568940493
16944	545.4471544715446	569.8925979680697
