time	x	y
1	1180.7092198581558	564.1985815602836
31	984.9645390070922	456.39716312056737
56	935.3191489361702	344.3404255319149
80	861.5602836879432	411.0070921985815
109	759.4326241134751	385.4751773049645
148	843.1205673758865	565.6170212765958
181	799.1489361702128	311.7163120567376
216	556.595744680851	228.0283687943262
248	775.0354609929078	619.517730496454
281	1267.2340425531913	428.02836879432624
315	958.0141843971631	331.57446808510633
348	990.6382978723403	342.92198581560285
384	742.4113475177304	354.2695035460993
415	870.0709219858156	352.8510638297872
448	826.0992907801418	469.1631205673759
481	746.6666666666666	496.11347517730496
514	569.3617021276596	376.9645390070922
548	775.0354609929078	395.40425531914894
581	682.8368794326241	245.04964539007094
614	633.1914893617021	226.60992907801418
649	499.85815602836874	315.9716312056737
681	404.822695035461	325.9007092198582
714	590.6382978723403	235.12056737588648
749	394.89361702127655	274.8368794326241
781	267.2340425531915	76.25531914893617
814	278.58156028368796	2.4964539007092195
848	484.25531914893617	35.12056737588652
881	356.5957446808511	-58.49645390070922
906	538.1560283687943	230.86524822695034
936	430.354609929078	327.3191489361702
962	430.354609929078	327.3191489361702
987	376.4539007092198	205.33333333333331
1014	458.7234042553191	222.35460992907798
1044	339.5744680851064	235.12056737588648
1069	339.5744680851064	235.12056737588648
1137	992.0567375886525	286.18439716312054
1166	1129.645390070922	-93.95744680851064
1192	1010.4964539007091	69.16312056737588
1217	1111.205673758865	270.58156028368796
1242	1119.7163120567375	195.40425531914894
1269	1423.2624113475176	335.82978723404256
1295	1423.2624113475176	335.82978723404256
1323	994.8936170212766	205.33333333333331
1348	922.5531914893617	318.80851063829783
1375	994.8936170212766	94.69503546099291
1401	994.8936170212766	94.69503546099291
1429	880.0	132.99290780141843
1455	880.0	229.4468085106383
1481	752.3404255319148	245.04964539007094
1507	779.2907801418439	337.2482269503546
1532	862.9787234042553	269.16312056737587
1557	648.7943262411347	327.3191489361702
1583	1197.7304964539005	300.36879432624113
1614	1207.659574468085	626.6099290780141
1644	326.80851063829783	403.9148936170212
1675	397.7304964539007	626.6099290780141
1702	411.9148936170213	530.1560283687943
1731	411.9148936170213	530.1560283687943
1757	462.9787234042553	418.09929078014187
1788	651.6312056737589	521.645390070922
1817	725.3900709219859	514.5531914893617
1845	671.4893617021276	355.68794326241135
1873	445.9574468085106	504.62411347517724
1901	698.4397163120567	172.70921985815605
1929	383.5460992907801	527.3191489361702
1954	637.4468085106383	545.7588652482269
1982	321.1347517730497	443.63120567375887
2008	158.01418439716315	507.4609929078014
2035	135.31914893617022	532.9929078014185
2063	-173.90070921985816	260.65248226950354
2098	305.53191489361706	212.42553191489358
2131	409.07801418439715	83.34751773049646
2164	258.72340425531917	229.4468085106383
2197	183.54609929078015	284.7659574468085
2231	420.42553191489355	141.5035460992908
2265	546.6666666666666	195.40425531914894
2298	702.6950354609929	280.51063829787233
2331	708.3687943262411	203.91489361702125
2364	685.6737588652481	450.72340425531917
2398	387.80141843971626	86.18439716312056
2431	601.9858156028369	233.70212765957444
2465	667.2340425531914	205.33333333333331
2498	928.2269503546099	369.87234042553195
2533	722.5531914893617	198.24113475177302
2566	563.6879432624113	193.98581560283688
2598	365.1063829787234	274.8368794326241
2632	348.0851063829787	219.51773049645388
2664	756.595744680851	137.24822695035462
2699	535.3191489361701	382.63829787234044
2731	460.14184397163115	264.9078014184397
2766	779.2907801418439	314.55319148936167
2796	684.2553191489361	521.645390070922
2825	413.33333333333326	425.19148936170217
2853	654.468085106383	637.9574468085107
2881	528.2269503546099	399.6595744680851
2915	779.2907801418439	498.95035460992904
2949	558.0141843971631	506.0425531914894
2977	728.2269503546099	381.21985815602835
3006	535.3191489361701	340.0851063829787
3035	573.6170212765958	385.4751773049645
3066	367.9432624113475	379.8014184397163
3098	558.0141843971631	218.09929078014184
3132	455.886524822695	504.62411347517724
3165	345.2482269503546	476.25531914893617
3197	339.5744680851064	718.8085106382979
3231	353.758865248227	473.41843971631204
3264	311.20567375886526	592.5673758865248
3298	106.9503546099291	494.6950354609929
3331	-334.18439716312054	550.0141843971631
3363	413.33333333333326	654.9787234042552
3401	13.333333333333341	439.3758865248227
3438	636.0283687943262	532.9929078014185
3470	192.05673758865248	544.3404255319149
3499	31.773049645390078	442.2127659574468
3530	793.4751773049645	540.0851063829787
3560	570.7801418439716	135.82978723404256
3591	560.8510638297872	310.29787234042556
3621	501.2765957446809	293.27659574468083
3649	640.2836879432624	289.02127659574467
3679	28.936170212765965	208.17021276595744
