time	x	y
1	55.110921501706486	746.7577374599787
45	-6.322525597269622	830.4290288153683
73	205.2815699658703	838.1131270010671
109	82.4146757679181	730.5357524012807
133	152.38054607508533	834.6979722518677
159	152.38054607508533	834.6979722518677
187	192.4829351535836	785.1782283884738
210	135.31569965870307	751.0266808964781
232	89.24061433447099	763.8335112059765
258	118.25085324232082	784.3244397011739
297	57.670648464163826	791.1547491995731
320	42.3122866894198	781.7630736392742
348	236.8515358361775	713.4599786552828
378	301.69795221843003	843.2358591248667
408	130.1962457337884	898.7321237993598
431	233.43856655290105	893.6093916755605
460	197.6023890784983	751.0266808964781
487	222.34641638225258	717.7289220917822
515	101.18600682593856	711.752401280683
542	141.28839590443687	681.0160085378868
567	31.220136518771334	736.5122732123799
597	112.27815699658704	638.3265741728922
630	112.27815699658704	638.3265741728922
660	63.64334470989762	709.1910352187833
688	146.40784982935153	753.5880469583777
715	81.56143344709899	705.7758804695837
740	52.551194539249146	705.7758804695837
765	128.4897610921502	690.4076840981857
792	128.4897610921502	690.4076840981857
823	105.45221843003414	715.1675560298826
853	70.46928327645051	661.3788687299893
885	81.56143344709899	389.87406616862324
916	49.1382252559727	305.34898612593383
947	48.284982935153586	339.50053361792953
973	89.24061433447099	343.769477054429
1000	40.60580204778157	371.9445037353255
1025	13.30204778156997	377.92102454642475
1048	160.91296928327645	367.67556029882604
1072	96.919795221843	301.0800426894344
1099	67.05631399317406	718.5827107790822
1125	67.05631399317406	718.5827107790822
1151	141.28839590443687	574.2924226254001
1178	203.57508532423208	671.6243329775881
1207	79.85494880546075	673.3319103521878
1234	171.1518771331058	565.7545357524012
1275	188.21672354948808	698.9455709711846
1300	102.03924914675768	675.8932764140875
1327	142.14163822525597	620.3970117395944
1352	183.09726962457339	648.5720384204909
1379	133.60921501706486	680.162219850587
1406	291.4590443686007	592.221985058698
1436	49.99146757679181	698.9455709711846
1468	3.063139931740617	571.7310565635005
1492	3.063139931740617	571.7310565635005
1518	15.008532423208194	696.3842049092849
1549	124.22354948805462	737.3660618996798
1576	-4.616040955631396	712.6061899679829
1608	154.08703071672355	638.3265741728922
1641	239.41126279863485	694.6766275346852
1666	234.29180887372016	663.0864461045891
1693	260.74232081911265	698.9455709711846
1725	228.31911262798639	667.3553895410886
1756	323.0290102389079	712.6061899679829
1786	208.69453924914677	665.6478121664887
1813	230.87883959044373	705.7758804695837
1838	279.5136518771331	656.25613660619
1875	328.14846416382255	640.8879402347919
1902	270.98122866894204	736.5122732123799
1928	270.98122866894204	736.5122732123799
1955	280.36689419795226	639.1803628601921
1985	241.11774744027306	616.128068303095
2016	267.56825938566556	614.4204909284952
2045	192.4829351535836	625.5197438633938
2069	291.4590443686007	651.9871931696905
2094	294.018771331058	622.9583778014942
2117	241.11774744027306	604.1750266808965
2141	157.5	552.093916755603
2164	157.5	552.093916755603
2189	100.33276450511946	588.8068303094984
2215	74.73549488054609	640.034151547492
2239	175.41808873720134	537.5795090715048
2261	222.34641638225258	576.0
2282	156.6467576791809	636.6189967982924
2306	123.3703071672355	575.1462113127001
2328	123.3703071672355	575.1462113127001
2355	108.01194539249147	745.0501600853789
2380	115.69112627986348	601.6136606189968
2403	83.2679180887372	639.1803628601921
2426	83.2679180887372	639.1803628601921
2459	419.4453924914676	573.4386339381003
2484	353.7457337883959	535.0181430096052
2507	357.15870307167233	533.3105656350053
2529	371.6638225255973	591.3681963713981
2555	360.5716723549489	570.8772678762007
2579	439.92320819112626	523.9188900747065
2602	398.9675767918089	664.7940234791889
