time	x	y
1	214.59074733096085	182.7911111111111
39	559.7864768683274	386.34666666666664
67	488.61209964412814	464.56888888888886
95	401.423487544484	508.12444444444446
122	555.338078291815	466.34666666666664
149	402.31316725978644	387.23555555555555
177	402.31316725978644	387.23555555555555
205	466.37010676156586	555.2355555555556
254	404.98220640569394	490.3466666666667
287	418.3274021352313	543.68
312	451.2455516014235	537.4577777777778
341	276.86832740213526	394.3466666666667
370	421.8861209964413	493.0133333333333
400	146.08540925266902	370.34666666666664
430	170.99644128113877	357.90222222222224
460	187.90035587188612	296.56888888888886
486	225.26690391459073	222.79111111111112
516	194.12811387900356	239.67999999999998
544	152.31316725978647	389.9022222222222
571	237.72241992882562	421.0133333333333
595	204.80427046263344	340.12444444444446
623	120.28469750889678	431.67999999999995
649	171.88612099644126	506.3466666666667
677	171.88612099644126	506.3466666666667
703	170.99644128113877	395.23555555555555
731	208.3629893238434	302.7911111111111
757	208.3629893238434	313.4577777777777
784	348.932384341637	461.90222222222224
811	308.8967971530249	385.4577777777778
839	330.2491103202847	457.4577777777778
865	296.44128113879003	367.68
916	452.13523131672594	427.23555555555555
941	318.6832740213523	404.12444444444446
969	340.0355871886121	418.3466666666667
993	419.2170818505338	353.4577777777778
1018	369.3950177935943	384.56888888888886
1049	293.7722419928825	335.67999999999995
1074	319.57295373665477	433.4577777777778
1122	146.97508896797152	821.9022222222222
1159	84.69750889679715	938.3466666666667
1189	-121.7081850533808	745.4577777777778
1215	41.992882562277565	735.68
1243	202.13523131672596	709.9022222222221
1277	-211.5658362989324	936.568888888889
1307	-435.7651245551601	913.4577777777779
1342	-74.55516014234877	977.4577777777779
1369	-73.66548042704628	1085.9022222222222
1398	-205.33807829181498	834.3466666666666
1426	135.40925266903915	741.9022222222222
1454	171.88612099644126	789.0133333333333
1481	194.12811387900356	624.5688888888889
1514	180.78291814946618	538.3466666666666
1542	118.5053380782918	654.791111111111
1570	109.6085409252669	450.34666666666664
1605	1.9572953736654706	673.4577777777778
1635	228.8256227758007	705.4577777777778
1659	104.27046263345196	632.5688888888889
1696	142.52669039145908	773.9022222222222
1729	180.78291814946618	531.2355555555555
1754	165.65836298932382	398.7911111111111
1779	203.02491103202846	534.7911111111111
1805	224.37722419928824	537.4577777777778
1834	254.62633451957294	457.4577777777778
1861	312.4555160142349	455.68
1890	179.0035587188612	645.9022222222222
1917	186.12099644128114	621.0133333333333
1945	214.59074733096085	549.0133333333333
1974	348.932384341637	684.1244444444444
1998	262.6334519572954	658.3466666666666
2025	312.4555160142349	704.5688888888889
2053	248.3985765124555	605.9022222222222
2082	296.44128113879003	664.5688888888889
2111	53.558718861209954	288.56888888888886
2139	-45.19572953736656	321.4577777777778
2166	276.86832740213526	525.0133333333333
2195	271.53024911032026	254.7911111111111
2223	473.4875444839858	432.5688888888889
2251	195.90747330960852	421.9022222222222
2278	340.9252669039146	270.7911111111111
2316	272.4199288256228	438.79111111111115
2350	296.44128113879003	435.23555555555555
2381	282.20640569395016	393.4577777777778
2413	389.8576512455516	321.4577777777778
2442	265.30249110320284	395.23555555555555
2468	265.30249110320284	395.23555555555555
2495	419.2170818505338	403.23555555555555
2522	267.9715302491103	376.56888888888886
2552	419.2170818505338	363.23555555555555
2580	337.3665480427046	299.2355555555555
2606	386.29893238434164	284.12444444444446
2634	403.20284697508896	356.1244444444444
2658	251.067615658363	277.0133333333333
2683	415.65836298932385	340.12444444444446
2713	432.56227758007117	216.56888888888886
2741	338.2562277580071	368.56888888888886
2767	356.9395017793594	367.68
2795	306.2277580071174	139.23555555555552
2831	246.61921708185054	284.12444444444446
2860	253.73665480427044	242.34666666666666
2891	204.80427046263344	374.7911111111111
2913	235.94306049822063	357.90222222222224
2943	337.3665480427046	295.68
2971	404.98220640569394	527.68
2995	429.0035587188612	519.68
3024	449.4661921708185	614.7911111111111
3049	551.779359430605	516.1244444444445
3077	449.4661921708185	435.23555555555555
3104	469.92882562277583	414.7911111111111
3128	572.2419928825623	519.68
3153	519.7508896797154	271.67999999999995
3183	552.6690391459075	365.0133333333333
3208	574.9110320284698	375.67999999999995
3234	612.2775800711744	390.7911111111111
3267	501.067615658363	371.23555555555555
3302	605.1601423487544	477.90222222222224
3330	631.8505338078292	272.56888888888886
